iter	Passed	Remaining
605	1856	2738
606	1858	2734
607	1861	2730
608	1862	2725
609	1865	2721
610	1867	2717
611	1869	2712
612	1873	2710
613	1876	2708
614	1879	2704
615	1881	2700
616	1884	2696
617	1891	2699
618	1894	2696
619	1896	2691
620	1899	2688
621	1901	2684
622	1902	2678
623	1909	2680
624	1910	2674
625	1917	2676
626	1920	2674
627	1925	2673
628	1933	2677
629	1937	2675
630	1940	2672
631	1943	2669
632	1948	2669
633	1950	2663
634	1951	2657
635	1952	2651
636	1952	2645
637	1953	2639
638	1955	2634
639	1956	2629
640	1958	2625
641	1960	2619
642	1961	2613
643	1962	2608
644	1963	2602
645	1964	2597
646	1965	2591
647	1967	2586
648	1968	2581
649	1969	2575
650	1972	2572
651	1973	2567
652	1975	2562
653	1977	2557
654	1978	2552
655	1980	2547
656	1982	2543
657	1983	2538
658	1985	2533
659	1987	2529
660	1989	2525
661	1990	2520
662	1992	2515
663	1993	2510
664	1995	2505
665	1997	2501
666	1998	2496
667	1999	2490
668	2001	2485
669	2003	2481
670	2004	2476
671	2006	2471
672	2007	2467
673	2009	2462
674	2010	2456
675	2011	2451
676	2012	2446
677	2014	2441
678	2015	2437
679	2019	2435
680	2021	2431
681	2026	2431
682	2030	2428
683	2032	2424
684	2034	2420
685	2036	2416
686	2039	2413
687	2043	2411
688	2048	2411
689	2052	2409
690	2055	2406
691	2058	2403
692	2064	2403
693	2067	2401
694	2069	2396
695	2070	2391
696	2074	2390
697	2080	2390
698	2083	2387
699	2086	2384
700	2089	2381
701	2093	2379
702	2095	2375
703	2097	2372
704	2100	2368
705	2103	2365
706	2107	2364
707	2110	2361
708	2112	2357
709	2121	2361
710	2125	2358
711	2127	2354
712	2131	2352
713	2133	2348
714	2135	2344
715	2138	2341
716	2142	2340
717	2144	2336
718	2149	2334
719	2150	2329
720	2152	2325
721	2157	2324
722	2158	2320
723	2162	2317
724	2165	2314
725	2167	2310
726	2169	2306
727	2172	2304
728	2175	2300
729	2178	2298
730	2180	2294
731	2184	2291
732	2185	2287
733	2189	2284
